ID;LINEA;ACERO;TIPO_ACERO;SALIDA DEL PROVEEDOR;LLEGADA A FÁBRICA;ORIGEN;TRANSPORTE;PESO NETO;INICIO DESCARGA;FIN DESCARGA;ESPESOR;TEMPERATURA;FALLAS;TURNO;SUPERVISOR
586;Línea A;Acero;ACERO SAE 1108;01-03-2024 8:30;01-03-2024 11:00;Runciman, Santa Fe;TRANSPORTE CABRERA;25480;01-03-2024 16:18;01-03-2024 17:56;11.6;26;;T;Melina Juárez
587;Línea B;Acero;ACERO SAE 1010;01-03-2024 18:01;02-03-2024 2:50;Mula Muerta, Córdoba;TRANSPORTE CABRERA;22080;02-03-2024 13:02;02-03-2024 13:37;18.8;30;;M;Julieta Pérez
588;Línea B;Acero;ACERO SAE 1010;01-03-2024 15:50;02-03-2024 0:05;Mula Muerta, Córdoba;BUSTAMANTE E HIJOS S.A;23060;02-03-2024 9:38;02-03-2024 10:28;15;26.8;;M;Julieta Pérez
589;Línea B;Acero;ACERO SAE 1010;01-03-2024 19:54;02-03-2024 2:40;Mula Muerta, Córdoba;TRANSPORTE CABRERA;23460;02-03-2024 13:34;02-03-2024 15:20;17;29.3;;M;Julieta Pérez
590;Línea A;Acero;ACERO SAE 1010;05-03-2024 13:31;05-03-2024 21:27;Mula Muerta, Córdoba;MURIETTO SRL;17080;06-03-2024 11:42;06-03-2024 12:09;18.1;20.8;;M;Melina Juárez
591;Línea A;Acero;ACERO SAE 1010;05-03-2024 15:50;05-03-2024 22:49;Mula Muerta, Córdoba;TRANSPORTES LOPEZ SRL;20480;06-03-2024 12:14;06-03-2024 13:40;17.7;19.8;;M;Melina Juárez
592;Línea A;Acero;ACERO SAE 1108;04-03-2024 14:50;04-03-2024 16:42;Runciman, Santa Fe;TRANSPORTE CABRERA;24260;05-03-2024 0:53;05-03-2024 1:59;11.9;31.3;;N;Julieta Pérez
593;Línea A;Acero;ACERO SAE 1108;04-03-2024 16:20;04-03-2024 17:57;Runciman, Santa Fe;TRANSPORTE CABRERA;25680;05-03-2024 4:38;05-03-2024 5:46;19.9;27.7;;N;Julieta Pérez
594;Línea A;Acero;ACERO SAE 1108;04-03-2024 12:25;04-03-2024 13:25;Runciman, Santa Fe;TRANSPORTE CABRERA;23440;04-03-2024 20:04;04-03-2024 21:43;11.1;31.6;;T;Hugo Conte
595;Línea A;Acero;ACERO SAE 1108;04-03-2024 16:50;04-03-2024 18:18;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;27380;05-03-2024 5:42;05-03-2024 6:30;18.4;29.2;;N;Julieta Pérez
596;Línea A;Acero;ACERO SAE 1108;04-03-2024 12:57;04-03-2024 14:45;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;23460;04-03-2024 21:43;04-03-2024 22:43;11.8;30.6;;T;Hugo Conte
597;Línea A;Acero;ACERO SAE 1108;04-03-2024 10:08;04-03-2024 11:23;Runciman, Santa Fe;TRANSPORTE CABRERA;22320;04-03-2024 14:32;04-03-2024 15:48;10.7;26.8;;T;Hugo Conte
598;Línea A;Acero;ACERO SAE 1108;04-03-2024 14:15;05-03-2024 1:02;Runciman, Santa Fe;TRANSPORTE CABRERA;25160;05-03-2024 23:41;06-03-2024 0:01;11.1;29.4;;N;Julieta Pérez
599;Línea A;Acero;ACERO SAE 1108;04-03-2024 10:13;04-03-2024 12:13;Runciman, Santa Fe;TRANSPORTE CABRERA;25480;04-03-2024 15:45;04-03-2024 16:34;11.1;28.5;;T;Hugo Conte
600;Línea B;Acero;ACERO SAE 1108;02-03-2024 12:10;02-03-2024 13:34;Runciman, Santa Fe;TRANSPORTE CABRERA;25740;02-03-2024 19:43;02-03-2024 20:41;17.7;32.4;;T;Melina Juárez
601;Línea A;Acero;ACERO SAE 1108;02-03-2024 8:55;02-03-2024 11:02;Runciman, Santa Fe;TRANSPORTES RITONDO SRL;25460;02-03-2024 16:21;02-03-2024 17:10;16.4;32.5;;T;Melina Juárez
602;Línea A;Acero;ACERO SAE 1108;02-03-2024 9:40;02-03-2024 11:42;Runciman, Santa Fe;TRANSPORTE CABRERA;22420;02-03-2024 18:50;02-03-2024 19:44;17.8;34.4;;T;Melina Juárez
603;Línea A;Acero;ACERO SAE 1108;02-03-2024 12:45;02-03-2024 14:43;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;28300;02-03-2024 19:44;02-03-2024 20:55;17.7;29.5;;T;Melina Juárez
604;Línea A;Acero;ACERO SAE 1108;04-03-2024 15:40;04-03-2024 16:19;Runciman, Santa Fe;TRANSPORTE PUTESCO;24600;05-03-2024 1:56;05-03-2024 2:46;19.6;29.8;;N;Julieta Pérez
605;Línea A;Acero;ACERO SAE 1108;04-03-2024 16:00;04-03-2024 17:21;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;24800;05-03-2024 3:41;05-03-2024 4:42;11.1;30;;N;Julieta Pérez
606;Línea B;Acero;ACERO SAE 1108;02-03-2024 9:20;02-03-2024 10:58;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;25420;02-03-2024 16:32;02-03-2024 18:12;16.7;36.3;;T;Melina Juárez
607;Línea B;Acero;ACERO SAE 1108;02-03-2024 11:40;02-03-2024 16:20;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;26480;02-03-2024 18:51;02-03-2024 19:42;17.1;28.7;;T;Melina Juárez
608;Línea B;Acero;ACERO SAE 1108;02-03-2024 8:20;02-03-2024 9:47;Runciman, Santa Fe;MURIETTO SRL;19460;02-03-2024 15:40;02-03-2024 16:34;16.4;29.3;;T;Melina Juárez
609;Línea A;Acero;ACERO SAE 1108;04-03-2024 11:33;04-03-2024 12:40;Runciman, Santa Fe;HERNANDEZ COMPANY;26160;04-03-2024 17:31;04-03-2024 20:08;11.6;34.4;;T;Hugo Conte
610;Línea A;Acero;ACERO SAE 1010;05-03-2024 17:10;06-03-2024 4:00;La Ramada, Córdoba;TRANSPORTE CABRERA;19880;06-03-2024 13:41;06-03-2024 14:20;17.1;27.5;;M;Melina Juárez
611;Línea A;Acero;ACERO SAE 1010;05-03-2024 17:00;06-03-2024 11:22;La Ramada, Córdoba;TRANSPORTE CABRERA;19000;06-03-2024 19:03;06-03-2024 19:39;16.1;25.5;;T;Hugo Conte
612;Línea A;Acero;ACERO SAE 1010;05-03-2024 19:30;06-03-2024 8:40;La Ramada, Córdoba;BUSTAMANTE E HIJOS S.A;12320;06-03-2024 19:40;06-03-2024 20:20;16.1;25.3;;T;Hugo Conte
613;Línea A;Acero;ACERO SAE 1010;05-03-2024 13:30;05-03-2024 22:17;La Ramada, Córdoba;TRANSPORTE CABRERA;20440;06-03-2024 17:16;06-03-2024 17:52;16.5;19.2;;T;Hugo Conte
614;Línea A;Acero;ACERO SAE 1010;05-03-2024 18:30;06-03-2024 9:25;La Ramada, Córdoba;TRANSPORTE PUTESCO;21100;06-03-2024 12:57;06-03-2024 13:20;17.7;28;;M;Melina Juárez
615;Línea A;Acero;ACERO SAE 1010;05-03-2024 15:40;05-03-2024 22:45;La Ramada, Córdoba;BUSTAMANTE E HIJOS S.A;21320;06-03-2024 17:50;06-03-2024 19:06;16;19.3;;T;Hugo Conte
616;Línea B;Acero;ACERO SAE 1108;04-03-2024 13:51;05-03-2024 9:37;Ines Indart, Buenos Aires;MURIETTO SRL;23860;06-03-2024 0:37;06-03-2024 1:03;19.1;27.5;;M;Melina Juárez
617;Línea B;Acero;ACERO SAE 1108;04-03-2024 11:28;04-03-2024 23:15;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;23100;05-03-2024 3:15;05-03-2024 3:43;19.5;28;;N;Julieta Pérez
618;Línea B;Acero;ACERO SAE 1108;04-03-2024 17:33;05-03-2024 19:15;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;23160;05-03-2024 20:15;05-03-2024 20:25;18;20.1;;T;Hugo Conte
619;Línea B;Acero;ACERO SAE 1108;04-03-2024 12:01;05-03-2024 1:38;Ines Indart, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;22660;05-03-2024 2:38;05-03-2024 2:42;19.1;29.3;;N;Julieta Pérez
620;Línea B;Acero;ACERO SAE 1108;04-03-2024 10:09;04-03-2024 20:07;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;19920;04-03-2024 21:17;04-03-2024 21:18;10.4;31.4;;T;Hugo Conte
621;Línea B;Acero;ACERO SAE 1108;04-03-2024 9:22;04-03-2024 14:32;Ines Indart, Buenos Aires;TRANSPORTES RITONDO SRL;21660;04-03-2024 15:32;04-03-2024 15:40;10.6;20.7;;T;Hugo Conte
622;Línea B;Acero;ACERO SAE 1108;04-03-2024 11:40;05-03-2024 0:38;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;22000;05-03-2024 3:38;05-03-2024 3:59;18.8;29.6;;N;Julieta Pérez
623;Línea B;Acero;ACERO SAE 1108;04-03-2024 9:40;04-03-2024 13:20;Ines Indart, Buenos Aires;HERNANDEZ COMPANY;21980;04-03-2024 16:46;04-03-2024 17:40;10.9;25.5;;T;Hugo Conte
624;Línea B;Acero;ACERO SAE 1108;04-03-2024 12:30;05-03-2024 4:14;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;22260;05-03-2024 7:44;05-03-2024 8:07;10.1;28.3;;N;Julieta Pérez
625;Línea B;Acero;ACERO SAE 1108;04-03-2024 16:45;05-03-2024 16:55;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;22440;05-03-2024 17:02;05-03-2024 17:58;19;24.8;;T;Hugo Conte
626;Línea B;Acero;ACERO SAE 1108;04-03-2024 18:10;05-03-2024 20:00;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;24100;05-03-2024 22:20;05-03-2024 22:41;17.9;17;;T;Hugo Conte
627;Línea B;Acero;ACERO SAE 1108;04-03-2024 12:48;05-03-2024 5:19;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;23340;05-03-2024 7:19;05-03-2024 7:28;18.8;29.7;;N;Julieta Pérez
628;Línea B;Acero;ACERO SAE 1108;04-03-2024 17:20;05-03-2024 17:55;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;25860;05-03-2024 18:45;05-03-2024 19:19;18.5;25.9;;T;Hugo Conte
629;Línea B;Acero;ACERO SAE 1108;04-03-2024 15:15;05-03-2024 11:38;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;22380;05-03-2024 13:38;05-03-2024 13:56;18.1;24.9;;M;Melina Juárez
630;Línea B;Acero;ACERO SAE 1108;04-03-2024 16:40;05-03-2024 15:01;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;23440;05-03-2024 18:21;05-03-2024 18:30;18;21.8;;T;Hugo Conte
631;Línea B;Acero;ACERO SAE 1108;04-03-2024 16:00;05-03-2024 13:26;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;23820;05-03-2024 15:36;05-03-2024 15:37;18.1;29.3;;M;Melina Juárez
632;Línea B;Acero;ACERO SAE 1108;04-03-2024 15:30;05-03-2024 12:35;Ines Indart, Buenos Aires;BUSTAMANTE E HIJOS S.A;23280;06-03-2024 12:35;06-03-2024 12:37;17.7;24.7;;M;Melina Juárez
633;Línea B;Acero;ACERO SAE 1108;01-03-2024 22:00;02-03-2024 21:27;Rancagua, Buenos Aires;HERNANDEZ COMPANY;25980;02-03-2024 23:27;02-03-2024 23:44;19.4;28.3;;T;Melina Juárez
634;Línea A;Acero;ACERO SAE 1108;04-03-2024 18:40;04-03-2024 21:00;Runciman, Santa Fe;TRANSPORTE CABRERA;24260;05-03-2024 11:22;05-03-2024 12:19;19.6;21;;M;Melina Juárez
635;Línea A;Acero;ACERO SAE 1108;04-03-2024 18:00;04-03-2024 19:25;Runciman, Santa Fe;TRANSPORTE GIORDANO;24420;05-03-2024 9:09;05-03-2024 10:34;18.7;27.4;;M;Melina Juárez
636;Línea A;Acero;ACERO SAE 1108;04-03-2024 16:50;04-03-2024 18:38;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;24220;05-03-2024 8:16;05-03-2024 9:13;19.9;27.9;;M;Melina Juárez
637;Línea A;Acero;ACERO SAE 1108;05-03-2024 13:09;06-03-2024 2:03;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;23540;06-03-2024 12:19;06-03-2024 12:30;19.1;21.6;;M;Melina Juárez
638;Línea A;Acero;ACERO SAE 1108;04-03-2024 18:20;04-03-2024 20:09;Runciman, Santa Fe;MURIETTO SRL;24020;05-03-2024 10:33;05-03-2024 11:23;19.6;21.5;;M;Melina Juárez
639;Línea A;Acero;ACERO SAE 1108;04-03-2024 17:20;04-03-2024 18:12;Runciman, Santa Fe;TRANSPORTE CABRERA;23700;05-03-2024 7:29;05-03-2024 8:19;19.1;29.5;Material en mal estado;M;Melina Juárez
640;Línea A;Acero;ACERO SAE 1108;04-03-2024 21:10;04-03-2024 22:30;Runciman, Santa Fe;TRANSPORTE CABRERA;22880;05-03-2024 13:26;05-03-2024 14:46;16.9;17.6;;M;Hugo Conte
641;Línea B;Acero;ACERO SAE 1108;04-03-2024 13:35;05-03-2024 8:05;Ines Indart, Buenos Aires;TRANSPORTE PUTESCO;22400;06-03-2024 8:05;06-03-2024 8:12;18.7;29.6;;M;Melina Juárez
642;Línea B;Acero;ACERO SAE 1108;04-03-2024 18:30;05-03-2024 21:00;Ines Indart, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;24560;06-03-2024 11:00;06-03-2024 11:24;18.5;20.8;;T;Hugo Conte
643;Línea B;Acero;ACERO SAE 1108;04-03-2024 19:00;05-03-2024 22:17;Ines Indart, Buenos Aires;TRANSPORTE GIORDANO;23040;06-03-2024 2:17;06-03-2024 2:40;19.1;19.1;;N;Julieta Pérez
644;Línea B;Acero;ACERO SAE 1108;06-03-2024 8:32;06-03-2024 9:50;Runciman, Santa Fe;TRANSPORTE CABRERA;21900;07-03-2024 1:12;07-03-2024 2:20;19.5;23.5;;N;Julieta Pérez
645;Línea A;Acero;ACERO SAE 1108;05-03-2024 13:38;05-03-2024 15:45;Runciman, Santa Fe;TRANSPORTE GIORDANO;23840;05-03-2024 23:37;06-03-2024 0:20;18.1;30.5;;N;Julieta Pérez
646;Línea A;Acero;ACERO SAE 1108;05-03-2024 20:20;05-03-2024 21:45;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;20920;06-03-2024 8:11;06-03-2024 9:15;19.8;19.8;;M;Melina Juárez
647;Línea A;Acero;ACERO SAE 1108;05-03-2024 19:20;05-03-2024 22:56;Runciman, Santa Fe;TRANSPORTE CABRERA;24640;06-03-2024 4:15;06-03-2024 5:45;19.5;19.6;;N;Julieta Pérez
648;Línea B;Acero;ACERO SAE 1108;06-03-2024 7:40;06-03-2024 8:50;Runciman, Santa Fe;TRANSPORTE CABRERA;23500;06-03-2024 22:47;06-03-2024 23:57;18.8;26.8;;N;Julieta Pérez
649;Línea A;Acero;ACERO SAE 1108;05-03-2024 20:00;05-03-2024 21:39;Runciman, Santa Fe;TRANSPORTES RITONDO SRL;25040;06-03-2024 5:41;06-03-2024 6:13;19.5;19.6;;N;Julieta Pérez
650;Línea B;Acero;ACERO SAE 1108;06-03-2024 8:11;07-03-2024 1:40;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;22060;07-03-2024 3:53;07-03-2024 3:54;19.1;27.5;;N;Julieta Pérez
651;Línea B;Acero;ACERO SAE 1108;06-03-2024 7:18;06-03-2024 8:35;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;23280;06-03-2024 21:04;06-03-2024 22:48;18.4;24;Material con desgaste;T;Hugo Conte
652;Línea A;Acero;ACERO SAE 1108;05-03-2024 13:15;05-03-2024 14:50;Runciman, Santa Fe;HERNANDEZ COMPANY;26580;05-03-2024 22:46;05-03-2024 23:41;17.1;29.2;;N;Julieta Pérez
653;Línea A;Acero;ACERO SAE 1108;05-03-2024 10:45;05-03-2024 12:30;Runciman, Santa Fe;TRANSPORTES RITONDO SRL;24660;05-03-2024 18:31;05-03-2024 20:02;17.5;24.8;;T;Hugo Conte
654;Línea A;Acero;ACERO SAE 1108;05-03-2024 9:56;05-03-2024 11:22;Runciman, Santa Fe;TRANSPORTE PUTESCO;22240;05-03-2024 17:29;05-03-2024 18:30;18;23;;T;Hugo Conte
655;Línea A;Acero;ACERO SAE 1108;05-03-2024 11:40;05-03-2024 13:23;Runciman, Santa Fe;TRANSPORTE CABRERA;23720;05-03-2024 20:04;05-03-2024 21:02;17.8;31;;T;Hugo Conte
656;Línea A;Acero;ACERO SAE 1108;05-03-2024 8:39;05-03-2024 10:45;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;24600;05-03-2024 15:32;05-03-2024 16:35;17;25.7;;T;Hugo Conte
657;Línea A;Acero;ACERO SAE 1108;05-03-2024 7:25;05-03-2024 9:30;Runciman, Santa Fe;TRANSPORTE CABRERA;24320;05-03-2024 14:44;05-03-2024 15:34;17.5;18.6;;T;Hugo Conte
658;Línea A;Acero;ACERO SAE 1108;05-03-2024 12:15;05-03-2024 14:15;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;24480;05-03-2024 21:04;05-03-2024 22:45;18.1;29.4;Material con desgaste;T;Hugo Conte
659;Línea B;Acero;ACERO SAE 1108;05-03-2024 12:24;06-03-2024 5:39;Hunter, Buenos Aires;LOGISTICA CASEDEI SRL;30000;07-03-2024 15:39;07-03-2024 15:48;17.9;28.2;;N;Julieta Pérez
660;Línea A;Acero;ACERO SAE 1108;05-03-2024 8:20;05-03-2024 11:15;Runciman, Santa Fe;TRANSPORTE CABRERA;23380;05-03-2024 16:32;05-03-2024 17:30;17.9;28.6;;T;Hugo Conte
661;Línea B;Acero;ACERO SAE 1108;05-03-2024 13:44;05-03-2024 16:18;Hunter, Buenos Aires;MURIETTO SRL;31220;06-03-2024 9:40;06-03-2024 10:20;19;29;;M;Melina Juárez
662;Línea B;Acero;ACERO SAE 1108;05-03-2024 11:53;05-03-2024 15:25;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;36440;06-03-2024 4:54;06-03-2024 5:41;18.1;29.6;;N;Julieta Pérez
663;Línea B;Acero;ACERO SAE 1108;05-03-2024 15:50;05-03-2024 20:07;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;29020;06-03-2024 12:57;06-03-2024 13:45;18.7;24.6;;M;Melina Juárez
664;Línea A;Acero;ACERO SAE 1108;05-03-2024 19:00;05-03-2024 20:19;Runciman, Santa Fe;TRANSPORTE CABRERA;23840;06-03-2024 1:57;06-03-2024 2:19;19.5;23.5;Material con desgaste;N;Julieta Pérez
665;Línea B;Acero;ACERO SAE 1108;05-03-2024 13:11;05-03-2024 16:23;Hunter, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;32060;06-03-2024 7:43;06-03-2024 8:19;18.9;31.4;;M;Melina Juárez
666;Línea B;Acero;ACERO SAE 1108;05-03-2024 15:50;05-03-2024 19:26;Hunter, Buenos Aires;TRANSPORTE PUTESCO;31840;06-03-2024 12:14;06-03-2024 13:00;19.1;27;;M;Melina Juárez
667;Línea B;Acero;ACERO SAE 1108;05-03-2024 16:20;05-03-2024 21:24;Hunter, Buenos Aires;TRANSPORTE CABRERA;31780;06-03-2024 13:41;06-03-2024 14:06;19;19.7;;M;Melina Juárez
668;Línea A;Acero;ACERO SAE 1108;05-03-2024 18:10;05-03-2024 19:46;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;23160;06-03-2024 0:49;06-03-2024 2:00;19.6;25.6;;N;Julieta Pérez
669;Línea B;Acero;ACERO SAE 1108;05-03-2024 15:00;05-03-2024 19:05;Hunter, Buenos Aires;TRANSPORTE CABRERA;30900;06-03-2024 11:37;06-03-2024 12:13;19.4;26.4;;M;Hugo Conte
670;Línea B;Acero;ACERO SAE 1108;05-03-2024 11:20;05-03-2024 16:00;Hunter, Buenos Aires;TRANSPORTE CABRERA;29540;06-03-2024 4:12;06-03-2024 4:56;10.5;30.9;;N;Julieta Pérez
671;Línea B;Acero;ACERO SAE 1108;05-03-2024 13:12;05-03-2024 16:45;Hunter, Buenos Aires;TRANSPORTE CABRERA;31700;06-03-2024 8:20;06-03-2024 9:00;18.4;30.7;;M;Melina Juárez
672;Línea A;Acero;ACERO SAE 1108;05-03-2024 20:45;05-03-2024 22:23;Runciman, Santa Fe;TRANSPORTE PUTESCO;24080;06-03-2024 10:17;06-03-2024 11:05;19.4;19.8;;M;Melina Juárez
673;Línea B;Acero;ACERO SAE 1108;05-03-2024 14:40;05-03-2024 20:03;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;31380;06-03-2024 10:18;06-03-2024 10:55;18.5;24.8;;M;Melina Juárez
674;Línea B;Acero;ACERO SAE 1108;05-03-2024 15:00;05-03-2024 19:00;Hunter, Buenos Aires;TRANSPORTE CABRERA;31020;06-03-2024 10:57;06-03-2024 11:38;19.1;26.9;;M;Hugo Conte
675;Línea B;Acero;ACERO SAE 1108;05-03-2024 9:00;05-03-2024 12:34;Ines Indart, Buenos Aires;TRANSPORTES LOPEZ SRL;16880;06-03-2024 1:06;06-03-2024 2:35;18.8;23.3;;N;Julieta Pérez
676;Línea B;Acero;ACERO SAE 1108;05-03-2024 9:48;05-03-2024 13:30;Ines Indart, Buenos Aires;TRANSPORTE CABRERA;30060;06-03-2024 3:26;06-03-2024 4:15;19.9;26;;N;Julieta Pérez
677;Línea B;Acero;ACERO SAE 1108;05-03-2024 8:29;05-03-2024 12:15;Ines Indart, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;21960;05-03-2024 23:27;06-03-2024 1:08;19.5;21.2;;N;Julieta Pérez
678;Línea B;Acero;ACERO SAE 1108;06-03-2024 10:20;06-03-2024 14:13;Hunter, Buenos Aires;TRANSPORTE CABRERA;28580;06-03-2024 19:43;06-03-2024 20:35;18;31.4;;T;Hugo Conte
679;Línea A;Acero;ACERO SAE 1010;06-03-2024 12:02;06-03-2024 20:15;La Ramada, Córdoba;TRANSPORTE CABRERA;13760;07-03-2024 1:05;07-03-2024 1:38;15.8;24.4;;N;Julieta Pérez
680;Línea B;Acero;ACERO SAE 1108;06-03-2024 8:43;06-03-2024 12:05;Hunter, Buenos Aires;TRANSPORTES LOPEZ SRL;30980;06-03-2024 17:37;06-03-2024 18:20;18.9;26.4;;T;Hugo Conte
681;Línea A;Acero;ACERO SAE 1010;06-03-2024 10:27;06-03-2024 18:21;La Ramada, Córdoba;TRANSPORTE CABRERA;20360;06-03-2024 20:41;06-03-2024 21:40;16;29.5;;T;Hugo Conte
682;Línea A;Acero;ACERO SAE 1108;06-03-2024 11:30;06-03-2024 14:49;Hunter, Buenos Aires;TRANSPORTE CABRERA;29640;07-03-2024 8:01;07-03-2024 8:45;16.5;31.8;;M;Melina Juárez
683;Línea A;Acero;ACERO SAE 1010;06-03-2024 12:00;06-03-2024 19:45;La Ramada, Córdoba;TRANSPORTE CABRERA;19020;06-03-2024 21:37;06-03-2024 22:53;15.7;25.5;;T;Hugo Conte
684;Línea B;Acero;ACERO SAE 1108;06-03-2024 8:18;06-03-2024 11:49;Hunter, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;28560;06-03-2024 16:43;06-03-2024 17:40;19.1;27.5;;T;Hugo Conte
685;Línea B;Acero;ACERO SAE 1108;06-03-2024 9:39;06-03-2024 13:57;Hunter, Buenos Aires;HERNANDEZ COMPANY;28820;06-03-2024 18:17;06-03-2024 19:47;18.7;28.2;;T;Hugo Conte
686;Línea A;Acero;ACERO SAE 1010;06-03-2024 10:10;06-03-2024 16:57;La Ramada, Córdoba;BUSTAMANTE E HIJOS S.A;16280;07-03-2024 0:35;07-03-2024 1:08;15.4;29.8;;N;Julieta Pérez
687;Línea A;Acero;ACERO SAE 1010;06-03-2024 20:55;07-03-2024 12:21;La Ramada, Córdoba;BUSTAMANTE E HIJOS S.A;5940;07-03-2024 20:42;07-03-2024 20:50;17;25.3;;T;Hugo Conte
688;Línea A;Acero;ACERO SAE 1108;06-03-2024 11:00;06-03-2024 14:12;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;32740;07-03-2024 7:14;07-03-2024 8:05;17.5;31.6;;M;Melina Juárez
689;Línea A;Acero;ACERO SAE 1010;06-03-2024 12:22;06-03-2024 19:26;La Ramada, Córdoba;TRANSPORTE PUTESCO;24000;07-03-2024 1:33;07-03-2024 2:06;17.1;29.8;;N;Julieta Pérez
690;Línea B;Acero;ACERO SAE 1108;05-03-2024 16:30;05-03-2024 21:43;Hunter, Buenos Aires;TRANSPORTE CABRERA;29700;06-03-2024 16:02;06-03-2024 16:46;19.1;24.5;;T;Hugo Conte
691;Línea B;Acero;ACERO SAE 1108;06-03-2024 10:05;06-03-2024 11:07;Runciman, Santa Fe;TRANSPORTES RITONDO SRL;22540;07-03-2024 7:44;07-03-2024 9:00;19.1;25.5;;M;Melina Juárez
692;Línea A;Acero;ACERO SAE 1108;06-03-2024 13:00;06-03-2024 16:51;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;30960;07-03-2024 12:07;07-03-2024 12:50;17.1;30.3;;M;Melina Juárez
693;Línea A;Acero;ACERO SAE 1108;06-03-2024 15:20;06-03-2024 19:23;Hunter, Buenos Aires;BUSTAMANTE E HIJOS S.A;29700;07-03-2024 16:20;07-03-2024 17:05;17.5;29.7;;T;Hugo Conte
694;Línea B;Acero;ACERO SAE 1108;06-03-2024 10:05;06-03-2024 12:05;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;23180;07-03-2024 5:34;07-03-2024 6:45;19.1;27.3;;N;Julieta Pérez
695;Línea B;Acero;ACERO SAE 1108;11-03-2024 15:13;12-03-2024 5:53;Runciman, Santa Fe;LOGISTICA CASEDEI SRL;24480;12-03-2024 7:18;12-03-2024 7:41;19.1;24.6;;N;Julieta Pérez
696;Línea A;Acero;ACERO SAE 1108;06-03-2024 11:50;06-03-2024 16:44;Hunter, Buenos Aires;TRANSPORTE CABRERA;29300;07-03-2024 11:04;07-03-2024 12:09;17.5;31.2;;M;Melina Juárez
697;Línea B;Acero;ACERO SAE 1108;06-03-2024 11:05;06-03-2024 13:02;Runciman, Santa Fe;TRANSPORTE CABRERA;22140;07-03-2024 8:58;07-03-2024 9:55;19.5;30.4;;M;Melina Juárez
698;Línea A;Acero;ACERO SAE 1108;06-03-2024 16:40;06-03-2024 19:59;Hunter, Buenos Aires;TRANSPORTE CABRERA;29680;07-03-2024 17:05;07-03-2024 17:44;16.6;21.5;;T;Hugo Conte
699;Línea A;Acero;ACERO SAE 1108;06-03-2024 14:00;06-03-2024 20:39;Hunter, Buenos Aires;TRANSPORTE CABRERA;30100;07-03-2024 12:49;07-03-2024 13:32;16.4;24.5;;M;Melina Juárez
700;Línea A;Acero;ACERO SAE 1108;06-03-2024 16:10;06-03-2024 19:38;Hunter, Buenos Aires;LOGISTICA CASEDEI SRL;27180;07-03-2024 17:42;07-03-2024 18:31;16.8;29.3;;T;Hugo Conte
701;Línea B;Acero;ACERO SAE 1108;06-03-2024 13:50;06-03-2024 14:57;Runciman, Santa Fe;TRANSPORTES RITONDO SRL;23840;07-03-2024 18:42;07-03-2024 19:35;19.1;31.5;;T;Hugo Conte
702;Línea A;Acero;ACERO SAE 1108;06-03-2024 14:20;06-03-2024 18:30;Hunter, Buenos Aires;LOGISTICA INTEGRAL SUAREZ;29680;07-03-2024 13:32;07-03-2024 15:05;17.1;29.9;;M;Melina Juárez
703;;Acero;ACERO SAE 1108;22-03-2024 12:56;23-03-2024 2:21;Runciman, Santa Fe;BUSTAMANTE E HIJOS S.A;26000;23-03-2024 4:18;23-03-2024 5:38;;;;;Gonzalo Castillejos
